date,state,prediction,predicted_delta_12,lag_12,value,baseline
2019-11-01,mississippi,124.84636488340193,-1.2153635116598072,126.06172839506173,155.0,124.0
2019-11-01,missouri,151.06035665294925,7.406035665294926,143.65432098765433,260.0,118.0
2019-11-01,montana,251.8244170096022,11.182441700960219,240.64197530864197,214.0,206.0
2019-11-01,mountain,4315.234567901235,317.1234567901235,3998.1111111111113,3868.0,3390.0
2019-11-01,nebraska,454.65432098765433,40.76543209876544,413.8888888888889,757.0,340.0
2019-11-01,nevada,748.3443072702332,57.13443072702333,691.2098765432099,651.0,583.0
2019-11-01,new_england,958.4266117969821,27.142661179698216,931.283950617284,961.0,882.0
2019-11-01,new_hampshire,225.02743484224968,12.002743484224968,213.0246913580247,147.0,192.0
2019-11-01,new_jersey,168.25240054869684,9.425240054869684,158.82716049382717,142.0,142.0
2019-11-01,new_mexico,496.06995884773664,36.10699588477367,459.962962962963,748.0,397.0
2019-11-01,new_york,683.3525377229081,30.735253772290815,652.6172839506173,586.0,578.0
2019-11-01,north_carolina,539.4499314128944,41.84499314128944,497.60493827160496,754.0,433.0
2019-11-01,north_dakota,1026.2839506172838,68.72839506172839,957.5555555555555,991.0,800.0
2019-11-01,ohio,238.7434842249657,18.274348422496573,220.46913580246914,242.0,187.0
2019-11-01,oklahoma,2316.0823045267493,203.00823045267492,2113.0740740740744,2477.0,1750.0
2019-11-01,oregon,670.3786008230452,37.63786008230451,632.7407407407406,451.0,548.0
2019-11-01,pacific_contiguous,5533.0,294.0,5239.0,4144.0,4679.0
2019-11-01,pacific_noncontiguous,187.92043895747597,12.192043895747597,175.72839506172838,109.0,154.0
2019-11-01,pennsylvania,690.6639231824417,31.466392318244175,659.1975308641976,424.0,578.0
2019-11-01,rhode_island,22.452674897119344,1.0452674897119343,21.40740740740741,44.0,20.0
2019-11-01,south_atlantic,2436.2674897119336,123.52674897119338,2312.7407407407404,2796.0,2108.0
2019-11-01,south_carolina,206.8573388203018,5.58573388203018,201.27160493827162,241.0,193.0
2019-11-01,south_dakota,460.8340192043895,41.883401920438956,418.9506172839506,295.0,342.0
2019-11-01,tennessee,98.68861454046639,1.2688614540466385,97.41975308641975,95.0,95.0
2019-11-01,texas,5955.669410150893,405.86694101508925,5549.802469135803,7375.0,4741.0
